"Order_ID","Order_Date","Ship_Date","Ship_Mode","Segment","Country","City","State","Postal_Code","Region","Product_ID","Category","Sub_Category","Product_Name","Sales","Quantity","Discount","Profit","Person","Returned","total_cost","price_per_unit"
CA-2016-151372,"9/5/2016","9/6/2016",First Class,Consumer,United States,Redondo Beach,California,90278,West,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0.0,1.79,Anna Andreadi,No,2.5700002,2.180000066757202
CA-2017-145772,"6/3/2017","6/7/2017",Standard Class,Corporate,United States,Los Angeles,California,90036,West,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,3.91,1,0.2,1.27,Anna Andreadi,No,2.64,4.887500125495717
CA-2016-114307,"7/22/2016","7/26/2016",Standard Class,Corporate,United States,Columbia,Maryland,21044,East,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,5.4,3,0.0,2.59,Chuck Magee,No,2.8100002,1.8000000317891438
CA-2014-123253,"8/22/2014","8/25/2014",Second Class,Home Office,United States,Lakewood,Ohio,44107,East,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,3.91,1,0.2,1.03,Chuck Magee,No,2.88,4.887500125495717
CA-2017-147452,"9/30/2017","10/3/2017",First Class,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",3.89,1,0.0,1.01,Anna Andreadi,No,2.88,3.890000104904175
CA-2014-142769,"9/13/2014","9/13/2014",Same Day,Consumer,United States,Seattle,Washington,98103,West,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,5.7,5,0.0,2.68,Anna Andreadi,No,3.0199997,1.1399999618530274
CA-2017-107825,"11/18/2017","11/18/2017",Same Day,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",5.82,2,0.0,2.74,Kelly Williams,No,3.0800002,2.9100000858306885
US-2017-118087,"9/9/2017","9/13/2017",Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",4.67,1,0.2,1.58,Chuck Magee,No,3.0900002,5.837500117113814
CA-2015-105158,"9/5/2015","9/10/2015",Standard Class,Corporate,United States,Rochester,Minnesota,55901,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.96,Kelly Williams,No,3.1999998,3.0799999237060547
US-2015-128090,"8/16/2015","8/22/2015",Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,5.04,2,0.2,1.76,Anna Andreadi,No,3.28,3.1499999878928064
CA-2015-149636,"1/6/2015","1/12/2015",Standard Class,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.94,2,0.7,-1.36,Anna Andreadi,No,3.3000002,3.233333300219643
CA-2016-114727,"7/18/2016","7/24/2016",Standard Class,Corporate,United States,Denver,Colorado,80219,West,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,1.87,3,0.7,-1.44,Anna Andreadi,No,3.31,2.0777777005125007
CA-2015-141593,"12/14/2015","12/16/2015",Second Class,Corporate,United States,Los Angeles,California,90045,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,6.48,1,0.0,3.11,Anna Andreadi,No,3.3700001,6.480000019073486
CA-2016-109806,"9/17/2016","9/22/2016",Standard Class,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.11,Anna Andreadi,No,3.3700001,6.480000019073486
CA-2017-123491,"10/30/2017","11/5/2017",Standard Class,Consumer,United States,San Francisco,California,94122,West,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",7.42,2,0.0,3.71,Anna Andreadi,No,3.71,3.7100000381469727
CA-2016-165330,"12/11/2016","12/11/2016",Same Day,Consumer,United States,Anaheim,California,92804,West,OFF-BI-10002897,Office Supplies,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",5.87,2,0.2,2.13,Anna Andreadi,No,3.7399998,3.668749942141585
CA-2015-169397,"12/24/2015","12/27/2015",First Class,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.58,2,0.2,1.81,Chuck Magee,No,3.77,3.487499965308234
CA-2015-164882,"10/31/2015","10/31/2015",Same Day,Consumer,United States,Redlands,California,92374,West,OFF-AR-10004272,Office Supplies,Art,Newell 308,5.04,3,0.0,1.26,Anna Andreadi,No,3.78,1.6799999872843425
CA-2017-141929,"9/4/2017","9/8/2017",Standard Class,Consumer,United States,Los Angeles,California,90004,West,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,5.56,1,0.2,1.74,Anna Andreadi,No,3.82,6.949999954365194
CA-2017-107825,"11/18/2017","11/18/2017",Same Day,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-LA-10003720,Office Supplies,Labels,Avery 487,7.38,2,0.0,3.47,Kelly Williams,No,3.91,3.690000057220459
CA-2017-128965,"4/17/2017","4/22/2017",Standard Class,Consumer,United States,Los Angeles,California,90008,West,OFF-LA-10001404,Office Supplies,Labels,Avery 517,7.38,2,0.0,3.47,Anna Andreadi,No,3.91,3.690000057220459
CA-2015-112144,"6/28/2015","7/2/2015",Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,OFF-LA-10000443,Office Supplies,Labels,Avery 501,5.9,2,0.2,1.99,Anna Andreadi,No,3.91,3.687500073341653
CA-2017-103380,"11/21/2017","11/25/2017",Standard Class,Home Office,United States,Pasadena,California,91104,West,OFF-AR-10003856,Office Supplies,Art,Newell 344,5.56,2,0.0,1.45,Anna Andreadi,No,4.1099997,2.7799999713897705
CA-2017-167395,"12/2/2017","12/4/2017",First Class,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0.0,0.17,Chuck Magee,No,4.19,2.180000066757202
US-2016-111528,"12/30/2016","12/30/2016",Same Day,Home Office,United States,Los Angeles,California,90032,West,OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,6.38,1,0.2,2.15,Anna Andreadi,No,4.23,7.975000172760338
US-2016-105578,"5/30/2016","6/4/2016",Standard Class,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,2.38,3,0.7,-1.9,Anna Andreadi,No,4.28,2.644444466520238
CA-2016-136483,"12/1/2016","12/6/2016",Standard Class,Consumer,United States,Knoxville,Tennessee,37918,South,OFF-AR-10000940,Office Supplies,Art,Newell 343,4.7,2,0.2,0.41,Cassandra Brandow,No,4.29,2.9374998917337503
CA-2017-127306,"1/14/2017","1/18/2017",Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,2.51,2,0.7,-1.84,Cassandra Brandow,No,4.35,4.183333151208037
CA-2015-168564,"8/8/2015","8/8/2015",Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.61,2,0.2,2.23,Anna Andreadi,No,4.38,4.131250098836609
CA-2015-168564,"8/8/2015","8/8/2015",Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,7.28,2,0.2,2.73,Anna Andreadi,No,4.55,4.55000014808029
CA-2014-103744,"2/23/2014","2/27/2014",Standard Class,Home Office,United States,El Paso,Texas,79907,Central,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,6.94,3,0.2,2.34,Kelly Williams,No,4.6000004,2.8916667012808226
CA-2017-131492,"10/19/2017","10/24/2017",Second Class,Corporate,United States,San Francisco,California,94110,West,OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,8.96,2,0.0,4.3,Anna Andreadi,No,4.66,4.480000019073486
CA-2017-108931,"9/14/2017","9/19/2017",Standard Class,Consumer,United States,New York City,New York,10024,East,OFF-PA-10002741,Office Supplies,Paper,Xerox 1980,8.56,2,0.0,3.85,Chuck Magee,No,4.7100005,4.28000020980835
CA-2017-166093,"8/17/2017","8/24/2017",Standard Class,Corporate,United States,Brentwood,California,94513,West,OFF-PA-10003893,Office Supplies,Paper,Xerox 1962,8.56,2,0.0,3.85,Anna Andreadi,No,4.7100005,4.28000020980835
CA-2016-126732,"9/2/2016","9/6/2016",Standard Class,Consumer,United States,Los Angeles,California,90036,West,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,7.31,1,0.2,2.56,Anna Andreadi,No,4.75,9.137499962514266
CA-2017-101574,"9/28/2017","10/4/2017",Standard Class,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,9.24,3,0.0,4.44,Anna Andreadi,No,4.7999997,3.0799999237060547
CA-2015-123568,"11/8/2015","11/14/2015",Standard Class,Consumer,United States,West Jordan,Utah,84084,West,OFF-FA-10002701,Office Supplies,Fasteners,Alliance Rubber Bands,5.04,3,0.0,0.2,Anna Andreadi,No,4.84,1.6799999872843425
US-2014-143287,"11/11/2014","11/17/2014",Standard Class,Home Office,United States,New Rochelle,New York,10801,East,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,0.0,2.19,Chuck Magee,No,5.11,3.6500000953674316
CA-2014-142769,"9/13/2014","9/13/2014",Same Day,Consumer,United States,Seattle,Washington,98103,West,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,0.0,2.19,Anna Andreadi,No,5.11,3.6500000953674316
CA-2017-131807,"10/5/2017","10/10/2017",Standard Class,Corporate,United States,Chico,California,95928,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",7.99,1,0.2,2.7,Anna Andreadi,No,5.29,9.98749975110404
CA-2016-105585,"8/26/2016","8/27/2016",First Class,Consumer,United States,San Jose,California,95123,West,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,10.23,3,0.0,4.91,Anna Andreadi,No,5.3199997,3.4099998474121094
US-2017-118087,"9/9/2017","9/13/2017",Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,3.04,2,0.7,-2.33,Chuck Magee,No,5.37,5.0666664017571446
CA-2017-103380,"11/21/2017","11/25/2017",Standard Class,Home Office,United States,Pasadena,California,91104,West,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,9.02,2,0.0,3.52,Anna Andreadi,No,5.5000005,4.510000228881836
CA-2016-124527,"11/16/2016","11/17/2016",First Class,Consumer,United States,Roseville,California,95661,West,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,8.32,5,0.2,2.81,Anna Andreadi,No,5.5099998,2.0799999314546582
CA-2014-141726,"7/20/2014","7/22/2014",First Class,Consumer,United States,San Diego,California,92105,West,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.7,2,0.2,3.16,Anna Andreadi,No,5.54,5.4374999010469764
CA-2017-131618,"6/17/2017","6/20/2017",First Class,Corporate,United States,Skokie,Illinois,60076,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.3,4,0.8,-3.57,Kelly Williams,No,5.87,2.8750001117587156
CA-2017-108931,"9/14/2017","9/19/2017",Standard Class,Consumer,United States,New York City,New York,10024,East,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,11.56,2,0.0,5.66,Chuck Magee,No,5.9000006,5.78000020980835
CA-2017-147452,"9/30/2017","10/3/2017",First Class,Corporate,United States,Seattle,Washington,98103,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2,0.0,5.76,Anna Andreadi,No,6.0,5.880000114440918
US-2014-164763,"3/17/2014","3/21/2014",Standard Class,Corporate,United States,Jackson,Mississippi,39212,South,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11.43,3,0.0,5.37,Cassandra Brandow,No,6.0600004,3.8100001017252603
CA-2014-143336,"8/27/2014","9/1/2014",Second Class,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.48,Anna Andreadi,No,6.0800004,4.28000020980835
CA-2015-150770,"5/3/2015","5/6/2015",First Class,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,8.82,3,0.0,2.56,Anna Andreadi,No,6.2599998,2.9399998982747397
CA-2017-156958,"12/5/2017","12/6/2017",First Class,Home Office,United States,Seattle,Washington,98115,West,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,9.3,2,0.2,3.02,Anna Andreadi,No,6.28,5.81250014086254
CA-2017-103380,"11/21/2017","11/25/2017",Standard Class,Home Office,United States,Pasadena,California,91104,West,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",8.62,1,0.0,2.24,Anna Andreadi,No,6.38,8.619999885559082
US-2016-148957,"9/17/2016","9/23/2016",Standard Class,Home Office,United States,Redmond,Washington,98052,West,OFF-LA-10002195,Office Supplies,Labels,Avery 481,12.32,4,0.0,5.91,Anna Andreadi,No,6.41,3.0799999237060547
CA-2016-145982,"8/27/2016","9/1/2016",Second Class,Consumer,United States,Quincy,Massachusetts,2169,East,OFF-FA-10000735,Office Supplies,Fasteners,Staples,11.68,4,0.0,5.26,Chuck Magee,No,6.42,2.9200000762939453
CA-2015-138674,"11/14/2015","11/17/2015",First Class,Corporate,United States,Springfield,Oregon,97477,West,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,8.72,5,0.2,2.29,Anna Andreadi,No,6.4300003,2.1800000748783352
CA-2017-112725,"1/30/2017","2/6/2017",Standard Class,Home Office,United States,San Francisco,California,94110,West,OFF-AR-10001227,Office Supplies,Art,Newell 338,8.82,3,0.0,2.38,Anna Andreadi,No,6.4399996,2.9399998982747397
CA-2017-118542,"12/1/2017","12/5/2017",Standard Class,Consumer,United States,Los Angeles,California,90008,West,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",10.13,2,0.2,3.67,Anna Andreadi,No,6.46,6.331250095111319
CA-2015-146486,"11/9/2015","11/14/2015",Second Class,Consumer,United States,Oceanside,New York,11572,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,12.24,6,0.0,5.75,Chuck Magee,No,6.49,2.0399999618530273
CA-2017-145772,"6/3/2017","6/7/2017",Standard Class,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,11.96,2,0.0,5.38,Anna Andreadi,No,6.58,5.980000019073486
US-2017-147886,"3/28/2017","3/31/2017",First Class,Corporate,United States,Fairfield,California,94533,West,OFF-PA-10000232,Office Supplies,Paper,Xerox 1975,12.96,2,0.0,6.35,Anna Andreadi,No,6.61,6.480000019073486
US-2014-164763,"3/17/2014","3/21/2014",Standard Class,Corporate,United States,Jackson,Mississippi,39212,South,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,12.96,2,0.0,6.35,Cassandra Brandow,No,6.61,6.480000019073486
CA-2016-161746,"10/21/2016","10/27/2016",Standard Class,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,12.39,3,0.0,5.7,Anna Andreadi,No,6.6900005,4.130000114440918
US-2016-156986,"3/20/2016","3/24/2016",Standard Class,Consumer,United States,Salem,Oregon,97301,West,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,10.37,2,0.2,3.63,Anna Andreadi,No,6.74,6.481249952618964
CA-2014-123225,"7/11/2014","7/14/2014",First Class,Consumer,United States,El Paso,Texas,79907,Central,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,10.37,2,0.2,3.63,Kelly Williams,No,6.74,6.481249952618964
CA-2015-149342,"4/20/2015","4/25/2015",Standard Class,Corporate,United States,Columbus,Georgia,31907,South,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,12.96,2,0.0,6.22,Cassandra Brandow,No,6.7400002,6.480000019073486
CA-2016-130477,"4/8/2016","4/12/2016",Standard Class,Consumer,United States,Los Angeles,California,90032,West,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,12.96,2,0.0,6.22,Anna Andreadi,No,6.7400002,6.480000019073486
CA-2017-157196,"11/5/2017","11/9/2017",Standard Class,Consumer,United States,San Diego,California,92105,West,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,12.96,2,0.0,6.22,Anna Andreadi,No,6.7400002,6.480000019073486
CA-2014-116785,"4/26/2014","4/30/2014",Standard Class,Home Office,United States,Los Angeles,California,90036,West,OFF-LA-10000305,Office Supplies,Labels,Avery 495,12.6,2,0.0,5.8,Anna Andreadi,No,6.8,6.300000190734863
CA-2014-127012,"8/11/2014","8/15/2014",Standard Class,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",12.35,1,0.0,5.43,Anna Andreadi,No,6.9200006,12.350000381469727
CA-2015-116092,"2/15/2015","2/18/2015",Second Class,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,13.36,2,0.0,6.41,Anna Andreadi,No,6.95,6.679999828338623
CA-2014-135699,"8/29/2014","8/29/2014",Same Day,Corporate,United States,San Francisco,California,94110,West,OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,13.36,2,0.0,6.41,Anna Andreadi,No,6.95,6.679999828338623
CA-2017-112725,"1/30/2017","2/6/2017",Standard Class,Home Office,United States,San Francisco,California,94110,West,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",12.74,7,0.0,5.73,Anna Andreadi,No,7.0099998,1.8199999673025948
CA-2017-142867,"3/17/2017","3/21/2017",Standard Class,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,10.27,3,0.2,3.21,Kelly Williams,No,7.0600004,4.279166873342668
US-2016-119046,"6/2/2016","6/6/2016",Standard Class,Corporate,United States,Seattle,Washington,98115,West,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,11.23,3,0.2,3.93,Anna Andreadi,No,7.299999,4.679166493363057
CA-2017-128965,"4/17/2017","4/22/2017",Standard Class,Consumer,United States,Los Angeles,California,90008,West,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,10.9,5,0.0,3.6,Anna Andreadi,No,7.2999997,2.1799999237060548
CA-2015-116092,"2/15/2015","2/18/2015",Second Class,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,0.2,4.18,Anna Andreadi,No,7.3400006,2.8800001251697545
CA-2017-100111,"9/20/2017","9/26/2017",Standard Class,Consumer,United States,New York City,New York,10035,East,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",13.76,2,0.0,6.33,Chuck Magee,No,7.4300003,6.880000114440918
CA-2015-148873,"10/1/2015","10/5/2015",Standard Class,Consumer,United States,Quincy,Illinois,62301,Central,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,2.99,4,0.8,-4.49,Kelly Williams,No,7.4799995,3.737500234693303
CA-2017-154949,"10/15/2017","10/19/2017",Standard Class,Consumer,United States,Camarillo,California,93010,West,OFF-LA-10002034,Office Supplies,Labels,Avery 478,14.73,3,0.0,7.22,Anna Andreadi,No,7.5099998,4.909999847412109
CA-2016-111682,"6/17/2016","6/18/2016",First Class,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.99,Chuck Magee,No,7.5700006,7.28000020980835
CA-2016-159023,"11/3/2016","11/5/2016",First Class,Consumer,United States,Portland,Oregon,97206,West,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,4.16,7,0.7,-3.47,Anna Andreadi,No,7.63,1.9809522295755113
CA-2016-151372,"9/5/2016","9/6/2016",First Class,Consumer,United States,Redondo Beach,California,90278,West,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",11.68,2,0.2,3.94,Anna Andreadi,No,7.7400002,7.300000217929483
CA-2015-119214,"1/23/2015","1/27/2015",Standard Class,Home Office,United States,Bozeman,Montana,59715,West,OFF-LA-10003077,Office Supplies,Labels,Avery 500,14.62,2,0.0,6.87,Anna Andreadi,No,7.75,7.309999942779541
CA-2017-131618,"6/17/2017","6/20/2017",First Class,Corporate,United States,Skokie,Illinois,60076,Central,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",12.22,2,0.2,4.43,Kelly Williams,No,7.7900004,7.637500195344911
CA-2017-100111,"9/20/2017","9/26/2017",Standard Class,Consumer,United States,New York City,New York,10035,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",11.78,3,0.2,3.98,Chuck Magee,No,7.7999997,4.908333240356296
CA-2016-145261,"12/18/2016","12/21/2016",First Class,Home Office,United States,Salem,Oregon,97301,West,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",11.65,2,0.2,3.79,Anna Andreadi,No,7.8599997,7.28124978870619
CA-2014-127131,"11/24/2014","11/30/2014",Standard Class,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,12.1,7,0.2,4.23,Anna Andreadi,No,7.8700004,2.160714361883168
CA-2015-146486,"11/9/2015","11/14/2015",Second Class,Consumer,United States,Oceanside,New York,11572,East,TEC-AC-10002018,Technology,Accessories,AmazonBasics 3-Button USB Wired Mouse,13.98,2,0.0,6.01,Chuck Magee,No,7.9699993,6.989999771118164
CA-2014-100762,"11/24/2014","11/29/2014",Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0.0,7.98,Kelly Williams,No,7.98,7.980000019073486
CA-2017-131807,"10/5/2017","10/10/2017",Standard Class,Corporate,United States,Chico,California,95928,West,OFF-FA-10002780,Office Supplies,Fasteners,Staples,14.9,5,0.0,6.85,Anna Andreadi,No,8.049999,2.9799999237060546
CA-2016-145583,"10/13/2016","10/19/2016",Standard Class,Consumer,United States,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.46,Anna Andreadi,No,8.06,2.880000114440918
US-2017-118087,"9/9/2017","9/13/2017",Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",4.5,1,0.7,-3.6,Chuck Magee,No,8.1,14.999999403953575
CA-2017-129707,"4/25/2017","4/29/2017",Standard Class,Consumer,United States,Chandler,Arizona,85224,West,OFF-AR-10000246,Office Supplies,Art,Newell 318,8.9,4,0.2,0.67,Anna Andreadi,No,8.23,2.7812498911516736
CA-2017-134194,"12/25/2017","1/1/2018",Standard Class,Consumer,United States,Dallas,Texas,75081,Central,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",3.17,3,0.8,-5.07,Kelly Williams,No,8.24,5.283333775401141
